  4.0000000e+001  5.2073584e-002  2.1887375e-002  2.0816921e-002  1.9164702e-002
  4.0500000e+001  5.5048024e-002  2.2049818e-002  2.0841725e-002  1.9924438e-002
  4.1000000e+001  5.8371187e-002  2.2232117e-002  2.0862430e-002  2.0789948e-002
  4.1500000e+001  6.2092683e-002  2.2436810e-002  2.0876584e-002  2.1781518e-002
  4.2000000e+001  6.6265549e-002  2.2666262e-002  2.0880622e-002  2.2922897e-002
  4.2500000e+001  7.0941947e-002  2.2922118e-002  2.0869385e-002  2.4240886e-002
  4.3000000e+001  7.6164071e-002  2.3204265e-002  2.0835501e-002  2.5763673e-002
  4.3500000e+001  8.1946683e-002  2.3509006e-002  2.0768662e-002  2.7516764e-002
  4.4000000e+001  8.8246216e-002  2.3826044e-002  2.0655070e-002  2.9514656e-002
  4.4500000e+001  9.4911361e-002  2.4134122e-002  2.0477726e-002  3.1745953e-002
  4.5000000e+001  1.0161600e-001  2.4396017e-002  2.0219032e-002  3.4150709e-002
  4.5500000e+001  1.0779573e-001  2.4556011e-002  1.9867884e-002  3.6594349e-002
  4.6000000e+001  1.1264795e-001  2.4546453e-002  1.9432340e-002  3.8855139e-002
  4.6500000e+001  1.1528398e-001  2.4310270e-002  1.8952936e-002  4.0655274e-002
  4.7000000e+001  1.1505517e-001  2.3834872e-002  1.8502317e-002  4.1752734e-002
  4.7500000e+001  1.1188276e-001  2.3172775e-002  1.8159102e-002  4.2052880e-002
  4.8000000e+001  1.0631456e-001  2.2424384e-002  1.7969892e-002  4.1651831e-002
  4.8500000e+001  9.9249430e-002  2.1693235e-002  1.7932623e-002  4.0774819e-002
  4.9000000e+001  9.1571697e-002  2.1049905e-002  1.8011616e-002  3.9670197e-002
  4.9500000e+001  8.3934379e-002  2.0523874e-002  1.8163096e-002  3.8535858e-002
  5.0000000e+001  7.6724061e-002  2.0114677e-002  1.8351270e-002  3.7498434e-002
  5.0500000e+001  7.0120539e-002  1.9806785e-002  1.8552499e-002  3.6624512e-002
  5.1000000e+001  6.4173161e-002  1.9580251e-002  1.8753346e-002  3.5940574e-002
